zip,city,state_id,state_name,population
601,Adjuntas,PR,Puerto Rico,16721
602,Aguada,PR,Puerto Rico,37510
603,Aguadilla,PR,Puerto Rico,48317
606,Maricao,PR,Puerto Rico,5435
610,Anasco,PR,Puerto Rico,25413
611,Angeles,PR,Puerto Rico,1522
612,Arecibo,PR,Puerto Rico,62462
616,Bajadero,PR,Puerto Rico,9836
617,Barceloneta,PR,Puerto Rico,22699
622,Boqueron,PR,Puerto Rico,7950
623,Cabo Rojo,PR,Puerto Rico,39005
624,Penuelas,PR,Puerto Rico,21374
627,Camuy,PR,Puerto Rico,32753
631,Castaner,PR,Puerto Rico,1357
637,Sabana Grande,PR,Puerto Rico,22884
638,Ciales,PR,Puerto Rico,17410
641,Utuado,PR,Puerto Rico,23962
646,Dorado,PR,Puerto Rico,36099
647,Ensenada,PR,Puerto Rico,4611
650,Florida,PR,Puerto Rico,13457
652,Garrochales,PR,Puerto Rico,4492
653,Guanica,PR,Puerto Rico,8665
656,Guayanilla,PR,Puerto Rico,17815
659,Hatillo,PR,Puerto Rico,37203
660,Hormigueros,PR,Puerto Rico,15439
662,Isabela,PR,Puerto Rico,40705
664,Jayuya,PR,Puerto Rico,14816
667,Lajas,PR,Puerto Rico,23116
669,Lares,PR,Puerto Rico,27534
670,Las Marias,PR,Puerto Rico,8553
674,Manati,PR,Puerto Rico,39288
676,Moca,PR,Puerto Rico,36836
677,Rincon,PR,Puerto Rico,15432
678,Quebradillas,PR,Puerto Rico,24848
680,Mayaguez,PR,Puerto Rico,42817
682,Mayaguez,PR,Puerto Rico,29939
683,San German,PR,Puerto Rico,29431
685,San Sebastian,PR,Puerto Rico,40323
687,Morovis,PR,Puerto Rico,28534
688,Sabana Hoyos,PR,Puerto Rico,10985
690,San Antonio,PR,Puerto Rico,6275
692,Vega Alta,PR,Puerto Rico,32717
693,Vega Baja,PR,Puerto Rico,55725
694,Vega Baja,PR,Puerto Rico,125
698,Yauco,PR,Puerto Rico,32945
703,Aguas Buenas,PR,Puerto Rico,24642
704,Aguirre,PR,Puerto Rico,6433
705,Aibonito,PR,Puerto Rico,24475
707,Maunabo,PR,Puerto Rico,10400
714,Arroyo,PR,Puerto Rico,15573
715,Mercedita,PR,Puerto Rico,2003
716,Ponce,PR,Puerto Rico,27705
717,Ponce,PR,Puerto Rico,14651
718,Naguabo,PR,Puerto Rico,23174
719,Naranjito,PR,Puerto Rico,29732
720,Orocovis,PR,Puerto Rico,20974
723,Patillas,PR,Puerto Rico,15835
725,Caguas,PR,Puerto Rico,76246
727,Caguas,PR,Puerto Rico,53412
728,Ponce,PR,Puerto Rico,37322
729,Canovanas,PR,Puerto Rico,47653
730,Ponce,PR,Puerto Rico,31976
731,Ponce,PR,Puerto Rico,10221
735,Ceiba,PR,Puerto Rico,11159
736,Cayey,PR,Puerto Rico,45528
738,Fajardo,PR,Puerto Rico,29797
739,Cidra,PR,Puerto Rico,34595
740,Puerto Real,PR,Puerto Rico,1959
741,Punta Santiago,PR,Puerto Rico,3733
745,Rio Grande,PR,Puerto Rico,47077
751,Salinas,PR,Puerto Rico,19596
754,San Lorenzo,PR,Puerto Rico,36822
757,Santa Isabel,PR,Puerto Rico,19974
765,Vieques,PR,Puerto Rico,8147
766,Villalba,PR,Puerto Rico,21829
767,Yabucoa,PR,Puerto Rico,30453
769,Coamo,PR,Puerto Rico,33953
771,Las Piedras,PR,Puerto Rico,35165
772,Loiza,PR,Puerto Rico,16961
773,Luquillo,PR,Puerto Rico,17631
775,Culebra,PR,Puerto Rico,1281
777,Juncos,PR,Puerto Rico,37243
778,Gurabo,PR,Puerto Rico,40391
780,Coto Laurel,PR,Puerto Rico,13612
782,Comerio,PR,Puerto Rico,18397
783,Corozal,PR,Puerto Rico,34266
784,Guayama,PR,Puerto Rico,35405
786,La Plata,PR,Puerto Rico,135
791,Humacao,PR,Puerto Rico,45912
794,Barranquitas,PR,Puerto Rico,28450
795,Juana Diaz,PR,Puerto Rico,43212
802,St Thomas,VI,Virgin Islands,
820,Christiansted,VI,Virgin Islands,
830,St John,VI,Virgin Islands,
840,Frederiksted,VI,Virgin Islands,
850,Kingshill,VI,Virgin Islands,
851,Kingshill,VI,Virgin Islands,
901,San Juan,PR,Puerto Rico,6762
906,San Juan,PR,Puerto Rico,46
907,San Juan,PR,Puerto Rico,15911
909,San Juan,PR,Puerto Rico,5466
911,San Juan,PR,Puerto Rico,7430
912,San Juan,PR,Puerto Rico,6219
913,San Juan,PR,Puerto Rico,6700
915,San Juan,PR,Puerto Rico,24484
917,San Juan,PR,Puerto Rico,18216
918,San Juan,PR,Puerto Rico,16379
920,San Juan,PR,Puerto Rico,16403
921,San Juan,PR,Puerto Rico,34197
923,San Juan,PR,Puerto Rico,24826
924,San Juan,PR,Puerto Rico,47800
925,San Juan,PR,Puerto Rico,4777
926,San Juan,PR,Puerto Rico,93308
927,San Juan,PR,Puerto Rico,13675
934,Fort Buchanan,PR,Puerto Rico,80
949,Toa Baja,PR,Puerto Rico,66714
950,Toa Baja,PR,Puerto Rico,0
951,Toa Baja,PR,Puerto Rico,399
952,Sabana Seca,PR,Puerto Rico,8488
953,Toa Alta,PR,Puerto Rico,66475
956,Bayamon,PR,Puerto Rico,67050
957,Bayamon,PR,Puerto Rico,40357
959,Bayamon,PR,Puerto Rico,46409
960,Bayamon,PR,Puerto Rico,3340
961,Bayamon,PR,Puerto Rico,28891
962,Catano,PR,Puerto Rico,19213
965,Guaynabo,PR,Puerto Rico,5886
966,Guaynabo,PR,Puerto Rico,17715
968,Guaynabo,PR,Puerto Rico,3488
969,Guaynabo,PR,Puerto Rico,41619
971,Guaynabo,PR,Puerto Rico,25499
976,Trujillo Alto,PR,Puerto Rico,61306
979,Carolina,PR,Puerto Rico,15597
982,Carolina,PR,Puerto Rico,13839
983,Carolina,PR,Puerto Rico,31583
985,Carolina,PR,Puerto Rico,31783
987,Carolina,PR,Puerto Rico,55039
1001,Agawam,MA,Massachusetts,16136
1002,Amherst,MA,Massachusetts,24726
1003,Amherst,MA,Massachusetts,12458
1005,Barre,MA,Massachusetts,4786
1007,Belchertown,MA,Massachusetts,15406
1008,Blandford,MA,Massachusetts,1324
1009,Bondsville,MA,Massachusetts,790
1010,Brimfield,MA,Massachusetts,3694
1011,Chester,MA,Massachusetts,1205
1012,Chesterfield,MA,Massachusetts,387
1013,Chicopee,MA,Massachusetts,22950
1020,Chicopee,MA,Massachusetts,30230
1022,Chicopee,MA,Massachusetts,2045
1026,Cummington,MA,Massachusetts,1005
1027,Easthampton,MA,Massachusetts,17678
1028,East Longmeadow,MA,Massachusetts,16283
1029,East Otis,MA,Massachusetts,652
1030,Feeding Hills,MA,Massachusetts,12374
1031,Gilbertville,MA,Massachusetts,1715
1032,Goshen,MA,Massachusetts,503
1033,Granby,MA,Massachusetts,6088
1034,Granville,MA,Massachusetts,2100
1035,Hadley,MA,Massachusetts,5299
1036,Hampden,MA,Massachusetts,4937
1037,Hardwick,MA,Massachusetts,486
1038,Hatfield,MA,Massachusetts,2534
1039,Haydenville,MA,Massachusetts,1660
1040,Holyoke,MA,Massachusetts,37949
1050,Huntington,MA,Massachusetts,2573
1053,Leeds,MA,Massachusetts,2033
1054,Leverett,MA,Massachusetts,1704
1056,Ludlow,MA,Massachusetts,20846
1057,Monson,MA,Massachusetts,8200
1060,Northampton,MA,Massachusetts,15237
1062,Florence,MA,Massachusetts,9188
1063,Northampton,MA,Massachusetts,2121
1066,North Hatfield,MA,Massachusetts,115
1068,Oakham,MA,Massachusetts,1623
1069,Palmer,MA,Massachusetts,9077
1070,Plainfield,MA,Massachusetts,593
1071,Russell,MA,Massachusetts,1219
1072,Shutesbury,MA,Massachusetts,1447
1073,Southampton,MA,Massachusetts,6212
1074,South Barre,MA,Massachusetts,749
1075,South Hadley,MA,Massachusetts,17410
1077,Southwick,MA,Massachusetts,9222
1079,Thorndike,MA,Massachusetts,282
1080,Three Rivers,MA,Massachusetts,2308
1081,Wales,MA,Massachusetts,1704
1082,Ware,MA,Massachusetts,10418
1083,Warren,MA,Massachusetts,2746
1084,West Chesterfield,MA,Massachusetts,101
1085,Westfield,MA,Massachusetts,41466
1088,West Hatfield,MA,Massachusetts,654
1089,West Springfield,MA,Massachusetts,28635
1092,West Warren,MA,Massachusetts,1123
1093,Whately,MA,Massachusetts,149
1094,Wheelwright,MA,Massachusetts,64
1095,Wilbraham,MA,Massachusetts,14615
1096,Williamsburg,MA,Massachusetts,2566
1097,Woronoco,MA,Massachusetts,45
1098,Worthington,MA,Massachusetts,1019
1103,Springfield,MA,Massachusetts,2336
1104,Springfield,MA,Massachusetts,21745
1105,Springfield,MA,Massachusetts,11469
1106,Longmeadow,MA,Massachusetts,15961
1107,Springfield,MA,Massachusetts,12270
1108,Springfield,MA,Massachusetts,27409
1109,Springfield,MA,Massachusetts,31418
1118,Springfield,MA,Massachusetts,15009
1119,Springfield,MA,Massachusetts,14059
1128,Springfield,MA,Massachusetts,3252
1129,Springfield,MA,Massachusetts,5993
1144,Springfield,MA,Massachusetts,0
